Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
devin kavanagh,Renegades,PG,3700000,8.5,2.6,15.9,1.8,2.9999999999999996,435294.1176470588,14.7,2.7,5.5,3.0,-1.2
damon lawson,Barons,SF/SG,1750000,3.6,1.2,16.8,1.4,2.742857142857143,486111.1111111111,13.4,3.4,2.7,2.1,2.1
leandro santoro,Drones,PF/C,1750000,3.4,0.9,13.4,-0.1,2.457142857142857,514705.8823529412,9.3,9.1,2.8,1.8,2.2
ruben smith,Dragons,PF,2450000,4.0,1.9,16.7,0.9,2.4081632653061225,612500.0,16.7,5.7,1.9,1.2,2.0
tanner mitchell,Jailbirds,PF,2250000,4.6,0.6,15.4,-0.8,2.311111111111111,489130.43478260876,12.1,8.3,2.3,2.5,1.9
umberto gigli,Predators,C,1950000,4.0,0.4,15.2,-0.9,2.256410256410257,487500.0,8.4,6.8,0.4,3.0,0.7
hiroaki kawase,Hurricanes,SG,1750000,2.8,1.0,11.3,1.1,2.1714285714285713,625000.0,4.0,1.1,1.9,1.5,-1.0
gordo dubar,Dragons,C,3250000,5.5,1.4,14.9,0.3,2.123076923076923,590909.0909090909,10.6,9.5,1.6,1.8,2.1
caleb donovan,Thunder,C/PF,5050000,7.0,3.7,16.3,3.9,2.118811881188119,721428.5714285715,12.9,9.0,3.0,3.0,2.4
xavier yates,Lumberjacks,SG,2650000,3.5,1.9,16.5,1.7,2.0377358490566038,757142.8571428572,14.3,4.1,3.5,2.7,1.4
zeng zhipeng,Knights,C,3050000,4.5,1.6,13.5,1.1,2.0,677777.7777777778,8.4,7.6,1.5,2.4,1.8
basil sanchious,Drones,PG,2750000,5.6,-0.2,15.7,-2.3,1.9636363636363634,491071.4285714286,9.4,2.3,8.5,1.0,-3.2
evan mcgowan,Renegades,C/PF,4900000,6.7,2.9,13.2,2.9,1.9591836734693875,731343.2835820896,7.7,8.5,2.8,3.6,1.4
petar jovanovic,Stonecutters,C,3050000,4.6,1.0,18.2,-0.4,1.8360655737704918,663043.4782608696,19.5,10.9,2.3,2.8,1.9
tymon culver,Skyhawks,PG,3150000,5.6,0.1,15.0,-1.8,1.8095238095238093,562500.0,8.4,2.1,7.8,1.7,-3.1
jade ahelegbe,Lightning,PG,4400000,6.5,1.3,17.3,0.1,1.7727272727272725,676923.0769230769,15.4,1.5,7.5,1.5,-2.6
devin emery,Pilots,PG/SG,5000000,6.7,2.1,17.6,1.8,1.7600000000000002,746268.6567164179,12.9,2.2,6.7,1.9,-1.9
winslo barry,Mustangs,PF,6000000,6.5,3.9,16.7,3.9,1.7333333333333334,923076.9230769231,16.4,7.2,1.5,3.2,1.5
vasja delimont,Calaveras,SF,2550000,3.1,1.3,12.7,0.5,1.7254901960784317,822580.6451612903,7.3,4.2,3.1,0.2,0.4
lyles heimuli,Predators,SG,3250000,3.9,1.7,11.6,1.6,1.723076923076923,833333.3333333334,8.3,2.0,2.7,2.5,-1.1
semisi rautins,Thunder,PF,5350000,5.9,3.3,14.8,2.7,1.719626168224299,906779.6610169491,13.1,8.2,4.0,3.3,2.9
waylan loftin,Crusaders,C,4450000,6.2,1.4,14.2,0.1,1.7078651685393258,717741.9354838709,11.9,11.8,1.5,3.6,1.0
malik jefferson,Huskies,SF/SG,4000000,4.6,2.2,14.3,2.6,1.7,869565.2173913044,9.4,2.8,3.2,1.9,-0.7
jordan kolaxis,Tritons,SF/PF,6000000,6.6,3.4,16.9,3.1,1.6666666666666667,909090.9090909092,15.8,8.0,3.0,3.9,2.8
mustafaa pearl,Kings,SG,1750000,1.8,1.0,15.1,3.2,1.5999999999999999,972222.2222222222,7.3,3.2,2.5,1.2,-0.4
dominic aldridge,Stonecutters,PG,1950000,2.5,0.6,14.9,0.4,1.5897435897435899,780000.0,6.3,2.9,3.7,0.8,-0.9
aaron epps,Mustangs,PG,4250000,5.4,1.3,20.2,1.7,1.576470588235294,787037.037037037,8.7,1.4,5.6,1.3,-2.4
sepp aldag,Stonecutters,PG,5050000,6.5,1.3,13.9,0.2,1.5445544554455446,776923.0769230769,11.8,2.7,7.6,3.1,-2.7
amorrow puryear,Stonecutters,C,2450000,3.0,0.6,11.0,-0.3,1.4693877551020407,816666.6666666666,2.8,5.2,0.5,1.7,0.5
brandon leslie,Warriors,C,6000000,7.0,1.8,14.3,0.9,1.4666666666666668,857142.8571428572,8.6,10.5,1.1,3.3,1.8
trey stephens,Kings,PG,4000000,5.0,0.8,15.9,0.2,1.45,800000.0,8.5,1.1,4.8,2.1,-3.5
anvar makiev,Calaveras,SG,4150000,4.0,2.0,17.7,1.1,1.4457831325301203,1037500.0,16.5,5.5,3.7,0.6,1.5
juan bazán,Kings,SF,1750000,1.6,0.9,12.5,0.4,1.4285714285714286,1093750.0,9.7,2.0,3.1,1.1,0.3
emanuel autry,Kings,PG/SG,7000000,6.9,3.1,19.4,3.2,1.4285714285714286,1014492.7536231884,16.2,5.0,6.9,2.0,0.7
talis kalemba,Vultures,C,4600000,6.0,0.3,19.0,-1.5,1.3695652173913044,766666.6666666666,16.6,10.5,1.0,2.8,1.4
khadeem wills,Knights,C/PF,4450000,5.9,0.1,17.6,-1.8,1.348314606741573,754237.2881355932,17.5,8.6,1.7,2.6,2.4
keshaun freeman,Kings,C,5800000,6.7,1.1,13.6,-0.2,1.3448275862068968,865671.6417910447,10.8,11.4,0.9,4.8,0.0
chase camby,Tritons,C/PF,2850000,3.3,0.5,11.0,-1.0,1.3333333333333333,863636.3636363636,6.6,7.7,0.9,2.7,0.7
rené köpke,Huskies,SF,4000000,3.8,1.3,13.3,1.4,1.275,1052631.5789473685,6.0,2.7,2.8,1.5,-0.7
brandon ayton,Lightning,PF,6000000,5.8,1.8,17.5,1.4,1.2666666666666666,1034482.7586206897,12.4,7.5,1.9,2.7,2.7
emmanuel blevins,Thunder,C,10000000,8.9,3.5,17.2,3.9,1.24,1123595.5056179776,11.0,10.7,2.4,3.2,2.6
deng coutts,Pilots,SF,3150000,2.3,1.6,12.0,1.4,1.2380952380952381,1369565.2173913044,9.1,3.0,2.0,2.2,0.7
ulysses fairmont,Calaveras,C/PF,4150000,3.1,2.0,17.1,2.1,1.2289156626506021,1338709.677419355,12.7,8.5,2.8,0.9,2.8
dujuan pappas,Barons,C,4600000,4.4,1.2,13.1,0.5,1.2173913043478264,1045454.5454545454,6.7,7.7,3.1,2.6,1.5
elijah worthing,Rockets,PF,4300000,3.5,1.7,15.8,2.0,1.2093023255813955,1228571.4285714286,9.0,5.3,1.9,2.8,3.3
xavian millinghaus,Giants,C,1750000,1.9,0.2,13.6,-1.0,1.2,921052.6315789474,4.4,3.9,0.7,1.6,1.0
daniel cazorla,Lightning,PG,1750000,1.8,0.3,14.1,-0.9,1.2,972222.2222222222,6.2,1.4,3.7,0.8,-2.1
markelle clarke,Saints,PF,2350000,3.3,-0.5,12.6,-2.8,1.1914893617021276,712121.2121212122,9.7,5.3,1.3,0.4,0.6
jamaria flagg,Stars,PG,6000000,5.3,1.8,18.2,1.2,1.1833333333333333,1132075.4716981133,13.7,3.2,7.8,1.1,-0.8
trip kreisberg,Calaveras,PG,2650000,2.8,0.3,18.1,-1.6,1.169811320754717,946428.5714285715,19.1,2.0,7.0,-0.6,-1.4
aj vandervieren,Wolves,SF/PF,2150000,1.6,0.9,11.6,1.7,1.1627906976744187,1343750.0,4.8,1.7,1.4,1.2,-0.8
robbie warrington,Drones,C/PF,2450000,3.1,-0.3,13.8,-2.6,1.1428571428571428,790322.5806451612,10.6,6.3,1.5,1.4,1.0
jack meyer,Rockets,C/PF,4500000,4.0,1.1,17.3,0.9,1.1333333333333333,1125000.0,8.7,6.0,1.4,2.6,2.8
jarion swerlein,Huskies,PF,12000000,8.6,4.5,15.5,4.7,1.0916666666666666,1395348.8372093025,11.7,9.2,4.9,3.4,1.7
colin yelder,Vipers,SF,1750000,1.4,0.5,15.8,1.9,1.0857142857142856,1250000.0,4.3,1.2,1.1,0.5,-1.3
choul lynch-daniels,Jaguars,PF,1750000,1.3,0.5,10.1,-0.6,1.0285714285714287,1346153.846153846,5.3,3.0,1.3,1.1,0.0
keon wallace,Dragons,PG,1750000,2.8,-1.0,13.5,-4.5,1.0285714285714285,625000.0,8.0,2.0,8.1,0.1,-3.9
evan lucarotti,Skyhawks,PF,5650000,4.7,1.0,12.6,0.1,1.008849557522124,1202127.6595744682,6.4,6.2,1.4,1.8,0.2
jamaine curry jr,Scorpions,SG,9000000,6.0,3.0,17.7,3.8,1.0,1500000.0,11.0,3.6,4.9,2.3,0.0
houston chong-qui,Kings,C,10000000,6.6,3.0,15.1,3.1,0.96,1515151.5151515151,13.6,7.5,1.3,4.1,0.6
toso benhayoune,Dragons,PG,6500000,4.7,1.5,18.6,2.2,0.9538461538461539,1382978.7234042552,7.1,2.8,5.8,0.9,-0.8
hakeem martin,Scorpions,C,5350000,4.3,0.8,13.8,-0.2,0.9532710280373832,1244186.046511628,9.9,8.1,1.5,2.6,0.7
jaron cavalaris,Jaguars,PG,4000000,4.1,-0.3,15.0,-2.6,0.95,975609.7560975611,12.3,4.3,6.5,2.0,-0.2
nate keating,Knights,PF,5500000,4.3,0.9,14.5,0.4,0.9454545454545454,1279069.7674418606,6.9,4.5,1.6,1.4,1.0
darius blackwell,Rockets,PG,5800000,4.8,0.6,13.6,-0.9,0.9310344827586207,1208333.3333333335,8.4,2.1,6.8,1.9,-2.8
roberto bezzi,Giants,SG,4000000,2.9,0.8,18.3,0.4,0.925,1379310.3448275863,11.5,2.1,1.7,1.7,0.1
tanner darling,Warriors,PF,13500000,8.7,3.7,21.3,3.8,0.9185185185185184,1551724.1379310347,19.3,7.5,4.0,2.8,4.0
marqueze jackson,Huskies,SF,10500000,5.4,4.0,12.3,4.3,0.8952380952380953,1944444.4444444443,11.0,4.9,2.0,3.2,1.6
dutch ruise jr,Huskies,C,5000000,2.9,1.5,16.0,3.1,0.8800000000000001,1724137.9310344828,6.4,4.5,1.2,1.6,1.7
lamarcus quinn,Jailbirds,PG,4150000,2.9,0.5,12.6,-0.7,0.8192771084337348,1431034.4827586208,5.2,1.7,3.6,1.2,-2.3
rayvon nassar,Pilots,PF,1750000,1.2,0.2,10.9,-0.7,0.7999999999999999,1458333.3333333335,2.7,2.4,0.5,0.7,-0.6
dante webber,Stars,PF,4750000,3.5,0.2,12.1,-1.6,0.7789473684210527,1357142.857142857,7.9,5.0,1.0,1.3,0.2
óscar salvatierra,Colonels,PG,5950000,4.5,0.1,15.7,-1.8,0.7731092436974789,1322222.2222222222,13.1,3.4,7.2,1.5,-0.3
adam kwiatkowski,Blizzards,C,3250000,2.3,0.2,13.9,-1.4,0.7692307692307693,1413043.4782608696,5.1,5.2,0.7,0.8,0.9
deandre patterson,Mustangs,SG,3400000,1.7,0.9,12.5,0.7,0.7647058823529412,2000000.0,6.8,1.4,1.5,1.2,-1.6
chauncey bohm,Cyclones,PG,1750000,1.0,0.3,14.0,0.3,0.7428571428571429,1750000.0,7.0,1.5,3.8,0.5,-2.4
jahda carlisle,Cyclones,SG,6250000,3.5,1.1,15.6,-0.2,0.736,1785714.2857142857,17.9,4.5,2.9,2.1,0.3
denis molodtsov,Cyclones,PF,5200000,3.7,0.1,17.8,-1.5,0.7307692307692308,1405405.4054054054,7.9,4.1,0.6,1.3,0.2
john jones,Scorpions,PF,10000000,5.1,2.1,15.7,1.8,0.72,1960784.3137254904,12.3,5.9,1.0,3.9,2.2
kylian fontaine,Devils,SF,5050000,3.1,0.5,11.6,-1.2,0.712871287128713,1629032.2580645161,9.1,4.5,2.7,1.7,1.5
kade underwood,Colonels,SF,5650000,3.0,1.0,15.1,-0.5,0.7079646017699115,1883333.3333333333,15.9,4.2,3.7,2.1,2.2
kenney holba,Predators,PF/C,20000000,9.9,4.1,23.5,4.8,0.7,2020202.0202020202,21.3,9.3,2.9,4.4,4.0
aidan clark,Jailbirds,SG/SF,8000000,4.0,1.6,14.2,0.8,0.7,2000000.0,13.1,2.3,2.2,1.9,-0.6
johannes slamar,Lumberjacks,C,4300000,2.0,1.0,9.7,2.5,0.6976744186046512,2150000.0,1.7,3.5,1.1,1.2,0.9
sebastian hazle,Giants,SF,4750000,2.8,0.5,13.7,-0.7,0.6947368421052631,1696428.5714285716,9.0,1.7,2.5,1.9,-1.0
demitrius burns,Mustangs,C,17000000,8.3,3.4,18.2,3.4,0.6882352941176472,2048192.7710843373,15.2,9.9,1.4,3.8,2.0
garvin crouch,Cyclones,SG/SF,1750000,1.0,0.2,12.1,-1.4,0.6857142857142857,1750000.0,6.9,2.0,1.9,0.8,-0.9
kibret diew,Jailbirds,SF/PF,1750000,0.9,0.3,13.7,1.2,0.6857142857142857,1944444.4444444445,6.5,2.0,1.6,0.3,0.2
jontavious brogna,Lumberjacks,SF,17500000,7.5,4.2,14.3,4.4,0.6685714285714285,2333333.3333333335,10.4,4.2,5.5,3.8,1.6
ben haygood,Predators,C,12150000,6.1,1.8,14.3,1.8,0.6502057613168724,1991803.2786885246,8.6,9.6,0.7,3.5,0.4
naasir pringle,Crusaders,C,6500000,3.5,0.6,16.7,0.3,0.6307692307692307,1857142.857142857,5.9,5.5,0.8,1.6,0.6
bryce ham,Calaveras,PF,4900000,2.5,0.5,14.5,-1.1,0.6122448979591836,1960000.0,13.1,6.6,2.4,0.1,0.9
ahsante clinkscales,Pilots,PG,2950000,1.7,0.1,12.3,-1.8,0.6101694915254237,1735294.1176470588,4.7,1.5,3.2,0.8,-2.6
lucas lennox,Vipers,C/PF,13000000,6.1,1.8,17.6,1.3,0.6076923076923076,2131147.5409836066,11.3,8.4,1.6,2.2,1.5
lev semchenko,Vipers,PG/SG,2975000,1.7,0.1,13.5,-1.7,0.6050420168067226,1750000.0,4.3,0.9,2.8,0.6,-3.9
mckinley power,Bullets,SF,4300000,2.4,0.2,14.0,-1.5,0.6046511627906977,1791666.6666666667,9.6,2.5,4.0,1.3,-1.3
jamar cosey,Knights,PF,11000000,3.9,2.7,18.9,3.2,0.6,2820512.8205128205,17.0,6.8,2.7,2.2,2.2
brodrick white,Calaveras,SF/PF,5000000,2.1,0.9,13.0,0.5,0.6,2380952.380952381,5.5,2.6,1.6,0.3,1.1
nazir link,Lumberjacks,PF,4750000,1.8,1.0,10.4,1.4,0.5894736842105263,2638888.888888889,5.4,4.5,1.5,1.7,0.4
xavi rivilla,Renegades,PF,25000000,10.0,4.5,19.0,4.8,0.58,2500000.0,15.7,8.6,4.3,3.9,2.2
lincoln rutherford,Rockets,PG,8000000,4.4,0.2,13.6,-1.6,0.5750000000000001,1818181.8181818181,7.2,1.3,5.3,1.6,-3.4
b.j. scocca,Colonels,C,8000000,3.8,0.8,14.5,-0.3,0.575,2105263.157894737,7.8,6.4,1.6,1.4,0.8
josh clayton,Wolves,PG,5050000,4.1,-1.2,14.5,-3.7,0.5742574257425742,1231707.3170731708,12.0,1.9,8.5,0.3,-2.7
gerrit torbert,Giants,PG,1750000,0.8,0.2,11.5,0.1,0.5714285714285714,2187500.0,2.8,1.3,3.2,0.4,-3.5
kepa lagares,Bullets,C,2850000,2.1,-0.5,12.6,-3.6,0.5614035087719298,1357142.857142857,5.5,5.5,0.5,1.5,-0.5
jacob fulwood,Kings,SF,25000000,9.1,4.9,17.2,5.6,0.56,2747252.7472527474,15.0,6.8,5.6,4.8,2.1
cameron hughes,Hurricanes,SF,7000000,2.5,1.4,13.4,1.6,0.5571428571428572,2800000.0,8.6,3.5,1.2,2.3,0.5
roberto vega,Tritons,PF,22000000,7.6,4.3,13.0,4.8,0.5409090909090909,2894736.8421052634,7.3,7.4,3.7,3.2,2.2
terrance brown,Blizzards,SG/PG,13000000,4.9,2.1,21.6,1.3,0.5384615384615384,2653061.2244897955,24.0,4.0,5.1,0.6,2.1
stanley ogide,Hurricanes,SG,30000000,9.5,6.3,20.8,7.2,0.5266666666666667,3157894.736842105,20.2,6.1,6.0,4.2,3.5
omari swift,Bullets,PG,5350000,2.9,-0.1,16.9,-2.3,0.5233644859813084,1844827.5862068967,16.7,1.7,4.9,1.4,-1.3
dantrell blackman,Lumberjacks,PG,19000000,8.0,1.9,17.7,0.8,0.5210526315789474,2375000.0,17.1,3.1,8.5,2.5,-1.5
carlos blanco,Bullets,PG,5000000,2.5,0.1,14.7,-1.7,0.52,2000000.0,8.1,1.5,4.1,0.9,-2.7
karim zouita,Huskies,PG/SG,35000000,11.3,6.8,22.9,7.3,0.5171428571428572,3097345.132743363,24.5,5.7,9.0,2.9,1.7
kourtlin bechard,Jailbirds,SG,2150000,1.0,0.1,11.4,-1.8,0.5116279069767442,2150000.0,6.5,2.0,2.6,1.3,-0.8
anthony beamer,Crusaders,PG,15000000,6.6,1.0,15.5,-0.3,0.5066666666666666,2272727.272727273,11.7,2.1,8.5,1.9,-2.8
devonte bell,Predators,PG,30000000,10.0,5.1,22.9,5.8,0.5033333333333333,3000000.0,25.9,3.4,7.0,3.5,1.2
adrian schwartz,Rockets,SF/SG,10000000,3.2,1.8,16.3,3.9,0.5,3125000.0,7.4,3.0,1.8,1.5,1.1
nyika nnamoko,Skyhawks,PG,10000000,4.3,0.6,15.0,-0.5,0.48999999999999994,2325581.395348837,6.5,2.3,5.7,1.2,-3.0
jordan johnson jr,Predators,SG/SF,17500000,5.8,2.7,15.4,2.6,0.4857142857142857,3017241.379310345,14.8,3.7,3.6,3.2,-0.1
cayden ward,Mustangs,PG,25000000,8.9,3.2,18.8,3.0,0.48400000000000004,2808988.7640449437,15.0,2.8,9.6,2.3,-1.8
rahsool kellar,Barons,SG,5200000,1.7,0.8,12.3,-0.8,0.4807692307692307,3058823.529411765,14.0,4.6,2.7,3.0,0.7
javar bonham,Rockets,C,30000000,10.6,3.7,26.3,3.8,0.4766666666666667,2830188.679245283,24.8,11.5,2.2,4.7,4.9
dalton dumas,Calaveras,C/PF,2950000,1.2,0.2,18.6,-0.3,0.47457627118644063,2458333.3333333335,4.0,2.7,0.5,0.2,0.3
derrick lynch,Predators,SF,30000000,8.5,5.4,17.9,6.7,0.4633333333333333,3529411.7647058824,15.8,8.1,6.7,4.5,3.1
kavian hawes,Hurricanes,PF/C,30000000,11.0,2.9,28.3,2.4,0.4633333333333333,2727272.727272727,30.0,9.5,1.5,4.4,3.4
horace hammer,Cyclones,PF,25000000,7.9,3.6,19.7,3.7,0.46,3164556.9620253164,18.3,9.0,3.7,2.8,2.7
kel pendergast,Devils,SG/SF,10000000,3.0,1.5,17.4,0.7,0.45,3333333.3333333335,16.4,5.6,3.0,2.2,2.6
darryl jerome,Colonels,C/PF,10500000,4.5,0.2,14.5,-1.6,0.44761904761904764,2333333.3333333335,11.3,9.0,1.3,2.4,2.1
dion sowder,Kings,PF,35000000,9.7,5.7,24.3,6.7,0.43999999999999995,3608247.4226804124,27.4,9.1,5.3,4.9,4.1
jadakiss hollywood,Lightning,C,2750000,1.5,-0.3,11.2,-3.2,0.43636363636363634,1833333.3333333333,5.0,5.3,0.6,1.3,0.2
zaire phifer,Vipers,SG,30000000,7.5,5.0,28.9,7.2,0.4166666666666667,4000000.0,31.8,5.7,4.5,2.7,4.5
alzee sessoms,Vipers,PG,28200000,8.9,2.6,18.2,2.0,0.40780141843971635,3168539.3258426967,14.5,3.4,8.8,2.2,-1.2
nikola kojic,Stonecutters,PF,3700000,1.7,-0.2,11.7,-2.5,0.4054054054054054,2176470.588235294,6.3,4.5,0.6,1.4,-0.2
cj lacruz,Scorpions,PG,30000000,8.9,2.9,22.5,3.1,0.39333333333333337,3370786.5168539323,21.6,3.5,8.5,2.7,0.7
nicolas deprez,Crusaders,SF,25000000,6.4,3.4,19.9,3.5,0.392,3906250.0,21.3,5.3,5.3,2.7,2.4
zeke barry,Pilots,PF,25000000,7.9,1.9,24.2,0.8,0.392,3164556.9620253164,28.3,9.8,2.1,4.6,5.1
rubén serrano,Devils,PG/SG,2050000,1.6,-0.8,12.6,-3.2,0.39024390243902446,1281250.0,11.4,2.1,6.9,1.2,-1.7
nazareth cook,Fireballs,PG,18000000,5.7,1.3,18.5,0.5,0.3888888888888889,3157894.736842105,14.3,1.4,5.6,1.7,-2.1
elvis januska,Barons,PF,15000000,4.7,1.1,19.0,0.0,0.3866666666666667,3191489.3617021274,19.5,7.2,2.4,2.5,1.8
marquese henshaw,Bullets,C,17500000,5.6,1.1,14.9,0.2,0.38285714285714284,3125000.0,9.4,8.8,1.8,2.8,1.8
cedric rodgers,Kings,SF,40000000,10.1,5.2,20.9,6.4,0.3825,3960396.0396039607,20.3,6.2,6.5,4.3,1.5
tayshaun aumiller,Renegades,SG,20000000,4.9,2.5,15.7,2.4,0.37,4081632.653061224,14.9,5.4,2.7,3.3,0.7
austin ross,Mustangs,SF/SG,35000000,7.8,5.1,17.7,5.7,0.36857142857142855,4487179.487179487,15.6,5.5,6.5,3.3,1.6
jaxon folmar,Scorpions,C,3000000,0.8,0.3,12.8,1.8,0.3666666666666667,3750000.0,3.1,2.6,0.5,0.5,0.2
ervin rhinehart,Scorpions,PF,16250000,4.4,1.5,20.0,0.6,0.3630769230769231,3693181.818181818,18.9,6.4,2.2,1.4,2.8
jarrett sutherland,Hurricanes,PG,30000000,7.8,3.0,19.4,2.1,0.36000000000000004,3846153.846153846,21.0,3.6,8.6,2.6,-0.1
devante parker jr,Knights,PG,22000000,6.2,1.7,16.9,0.7,0.3590909090909091,3548387.0967741935,14.5,2.8,6.3,1.5,-0.8
amara perez,Giants,C,25000000,7.6,1.3,18.4,0.1,0.35600000000000004,3289473.6842105263,16.7,9.8,0.6,4.3,1.8
lukas kempe,Huskies,PF,2250000,0.6,0.2,11.5,1.1,0.35555555555555557,3750000.0,0.8,1.2,0.2,0.2,-1.7
gvidas vitenas,Predators,PF/C,6500000,1.9,0.4,13.2,0.3,0.3538461538461538,3421052.6315789474,4.2,4.1,0.3,1.2,-0.4
deleon council,Jaguars,SF,2550000,0.7,0.2,11.8,-0.7,0.3529411764705882,3642857.142857143,3.4,1.7,0.7,0.5,-0.5
veljko pavlovic,Lumberjacks,C,40000000,10.1,4.0,21.6,3.7,0.3525,3960396.0396039607,21.7,12.1,2.6,4.9,3.6
ike person jr,Scorpions,C,10500000,3.0,0.7,13.3,-0.3,0.3523809523809524,3500000.0,6.5,7.8,0.8,1.4,1.5
